id,name,shahr_type,ostan,shahrestan,bakhsh,amar_code
1338,مرند,0,1,391,649,307021228
1339,مرودشت,0,17,392,849,712041324
1340,مروست,0,31,151,1022,2109021557
1341,مریانج,0,30,443,1011,1304071474
1342,مریوان,0,20,393,869,1206031463
1343,مزایجان,0,17,87,1023,716032780
1344,مزدآوند,0,11,246,582,920012607
1345,مزرعه,0,24,295,920,2703012836
1346,مس سرچشمه,0,21,214,877,804022227
1347,مسجدسلیمان,0,13,394,775,613031291
1348,مسجدسلیمان 1,2,13,394,775,613032671
1349,مسجدسلیمان 2,2,13,394,775,613032672
1350,مشراگه,0,13,204,1024,619022719
1351,مشکات,0,4,332,612,1010032657
1352,مشکان,0,11,173,1025,938022902
1353,مشکان,0,17,430,130,714022556
1354,مشکین دشت,0,5,304,1026,3006022271
1355,مشگین شهر,0,3,395,592,2404021229
1356,مشهد,0,11,396,741,916051392
1357,مشهد 12,2,11,396,741,916052000
1358,مشهد ثامن,0,11,396,741,916052526
1359,مشهد1,2,11,396,741,916051629
1360,مشهد10,2,11,396,741,916051648
1361,مشهد11,2,11,396,741,916052524
1362,مشهد2,2,11,396,741,916051630
1363,مشهد3,2,11,396,741,916051631
1364,مشهد4,2,11,396,741,916051632
1365,مشهد5,2,11,396,741,916051643
1366,مشهد6,2,11,396,741,916051644
1367,مشهد7,2,11,396,741,916051645
1368,مشهد8,2,11,396,741,916051646
1369,مشهد9,2,11,396,741,916051647
1370,مشهدریزه,0,11,114,1046,904032654
1371,مصیری,0,17,210,832,726022337
1372,معزابادجابری,0,17,156,827,729022962
1373,معلم کلایه,0,18,322,288,2603022494
1374,معمولان,0,26,109,1030,1508022366
1375,مغان سر,0,3,103,138,2406032029
1376,مقاومت,0,13,160,764,607012334
1377,ملاثانی,0,13,63,760,624012106
1378,ملارد,0,8,397,694,2317012217
1379,ملایر,0,30,398,1009,1302031467
1380,ملک آباد,0,11,396,16,916012437
1381,ملکان,0,1,399,650,320021224
1382,ممقان,0,1,5,1031,321021203
1383,منتظران,0,13,183,765,608022967
1384,منج,0,9,377,1032,1404042731
1385,منجیل,0,25,217,935,106031133
1386,منصوریه,0,13,95,762,606032797
1387,منظریه,0,4,280,608,1009022446
1388,منوجان,0,21,402,890,813012240
1389,موچش,0,20,334,1034,1208022466
1390,مود,0,10,243,1035,2903022642
1391,مورموری,0,6,3,489,1606012616
1392,موسیان,0,6,196,1037,1603031506
1393,مومن آباد,0,26,27,153,1507012365
1394,مهاباد,0,4,21,1039,1001032214
1395,مهاباد,0,2,404,670,407021248
1396,مهاجران,0,28,269,307,7032032
1397,مهاجران,0,30,93,561,1307012757
1398,مهدی شهر,0,15,405,792,2005021544
1399,مهر,0,6,400,529,1608022745
1400,مهر,0,17,406,851,721022211
1401,مهران,0,6,407,634,1605031510
1402,مهربان,0,1,239,1041,305021216
1403,مهردشت,0,31,16,109,2107012372
1404,مهرستان,0,16,408,811,1113012355
1405,مهریز,0,31,409,1019,2104011558
1406,میامی,0,15,410,793,2007012162
1407,میان راهان,0,22,286,273,510012414
1408,میاندوآب,0,2,411,671,408031251
1409,میانرود,0,13,183,765,608022419
1410,میانشهر,0,17,309,404,708022829
1411,میانکوه,0,13,43,752,616022969
1412,میانه,0,1,413,651,310041233
1413,میبد,0,31,414,1020,2106011552
1414,میداود,0,13,59,1048,615042720
1415,میرآباد,0,2,248,1083,404022406
1416,میرآباد,0,22,128,316,512032977
1417,میرجاوه,0,16,415,812,1117011452
1418,میلاجرد,0,28,344,1050,11022379
1419,میمند,0,17,314,1051,709041314
1420,میمه,0,4,272,1052,1016021408
1421,میمه,0,6,196,337,1603041504
1422,میناب,0,29,416,1001,2205031575
1423,مینودشت,0,24,417,928,2707041188
1424,مینوشهر,0,13,160,1054,607022312
1425,نازک علیا,0,2,110,22,415012733
1426,ناغان,0,9,357,1058,1407022154
1427,نافچ,0,9,281,701,1402022471
1428,نالوس,0,2,36,1059,413022408
1429,نایین,0,4,418,616,1013031435
1430,نجف آباد,0,4,419,617,1014021440
1431,نجف شهر,0,21,264,881,806012340
1432,نخل تقی,0,7,294,680,1810012622
1433,ندوشن,0,31,414,1060,2106022322
1434,نراق,0,28,190,982,5011107
1435,نرجه,0,18,113,857,2602042639
1436,نرماشیر,0,21,420,891,821012338
1437,نسیم شهر,0,8,94,104,2319022208
1438,نشتارود,0,27,123,1062,205031166
1439,نشتیفان,0,11,169,725,919022565
1440,نصرآباد,0,4,37,160,1002012512
1441,نصرآباد,0,11,116,1063,906032342
1442,نصرت آباد,0,16,225,1064,1105032454
1443,نصیرشهر,0,8,208,688,2312022666
1444,نطنز,0,4,421,618,1015011442
1445,نظام شهر,0,21,420,287,821022598
1446,نظرآباد,0,5,422,624,3003011586
1447,نظرکهریزی,0,1,440,1065,311032590
1448,نقاب,0,11,136,722,936012184
1449,نقده,0,2,423,672,409021254
1450,نقنه,0,9,72,697,1401032706
1451,نکا,0,27,424,974,219011160
1452,نگار,0,21,70,1066,810042326
1453,نگور,0,16,187,799,1122011444
1454,نگین شهر,0,24,8,915,2710022640
1455,نلاس,0,2,248,1083,404022922
1456,نمین,0,3,425,593,2408021197
1457,نوبران,0,28,236,1070,6042137
1458,نوبندگان,0,17,309,1071,708042652
1459,نوجین,0,17,301,839,722012060
1460,نوخندان,0,11,179,1072,907041366
1461,نودان,0,17,350,514,733022424
1462,نودژ,0,21,402,9,813022604
1463,نودشه,0,22,107,1074,503031262
1464,نوده خاندوز,0,24,8,195,2710012581
1465,نور,0,27,426,975,214031189
1466,نورآباد,0,17,401,850,713031325
1467,نورآباد,0,26,188,950,1504021494
1468,نوربهار,0,14,155,781,1903032833
1469,نوسود,0,22,107,1074,503031263
1470,نوش آباد,0,4,7,597,1018022505
1471,نوشهر,0,27,427,976,215041194
1472,نوشین,0,2,26,1056,401052151
1473,نوک آباد,0,16,120,796,1121012452
1474,نوکنده,0,24,83,1076,2701022194
1475,نهاوند,0,30,428,1010,1303021468
1476,نهبندان,0,10,429,714,2905021356
1477,نی ریز,0,17,430,852,714031326
1478,نیاسر,0,4,332,1077,1010042302
1479,نیر,0,3,431,594,2409011198
1480,نیر,0,31,119,1078,2103031556
1481,نیشابور,0,11,432,743,917041394
1482,نیشابور 1,2,11,432,743,917042786
1483,نیشابور 2,2,11,432,743,917042787
1484,نیک آباد,0,4,37,160,1002012186
1485,نیک پی,0,14,230,317,1904022764
1486,نیک شهر,0,16,433,813,1107051448
1487,نیل شهر,0,11,116,103,906042655
1488,نیمبلوک,0,10,318,1080,2904032646
1489,نیمور,0,28,387,988,9011116
1490,واجارگاه,0,25,219,492,107051139
1491,وایقان,0,1,273,645,314022149
1492,وحدتیه,0,7,185,351,1803012482
1493,وحیدیه,0,8,282,182,2309032293
1494,ورامین,0,8,435,695,2306031594
1495,وراوی,0,17,406,1081,721032559
1496,وردنجان,0,9,79,698,1409012732
1497,ورزقان,0,1,436,655,324022142
1498,ورزنه,0,4,37,96,1002051404
1499,ورنامخواست,0,4,378,614,1012032112
1500,وزوان,0,4,272,1052,1016021409
1501,ونایی,0,26,71,37,1502012971
1502,ونک,0,4,257,606,1005022351
1503,ویس,0,13,63,1085,624022309
1504,ویسیان,0,26,147,1086,1510032362
1505,هادی شهر,0,27,56,291,216042394
1506,هادیشهر,0,1,132,641,319021226
1507,هارونی,0,9,281,558,1402052838
1508,هجدک,0,21,207,513,811012599
1509,هچیرود,0,27,142,961,220022748
1510,هرات,0,31,151,1018,2109011559
1511,هرسین,0,22,438,914,511021259
1512,هرمز,0,29,82,1088,2202071572
1513,هرند,0,4,37,168,1002061405
1514,هریس,0,1,439,652,316021217
1515,هزارکانیان,0,20,199,327,1207032925
1516,هشتبندی,0,29,416,148,2205042003
1517,هشتپر (تالش),0,25,291,940,104031124
1518,هشتجین,0,3,162,246,2403012164
1519,هشترود,0,1,440,653,311021234
1520,هشتگرد,0,5,235,620,3002011587
1521,هفت چشمه,0,26,188,472,1504012727
1522,هفتگل,0,13,441,776,622021292
1523,هفشجان,0,9,281,701,1402021484
1524,هلشی,0,22,339,448,502032410
1525,هماشهر,0,17,238,1091,706032711
1526,هماشهر,0,21,264,125,806022722
1527,همت آباد,0,11,316,420,933022066
1528,همدان,0,30,443,1011,1304071475
1529,همدان 1,2,30,443,1011,1304071691
1530,همدان 2,2,30,443,1011,1304071692
1531,همدان 3,2,30,443,1011,1304072522
1532,همدان 4,2,30,443,1011,1304072523
1533,هندودر,0,28,269,339,7022380
1534,هندیجان,0,13,444,777,618011277
1535,هنزا,0,21,200,1093,818022771
1536,هنگوییه,0,29,74,176,2209012959
1537,هوراند,0,1,445,654,327012294
1538,هوره,0,9,234,309,1408022918
1539,هویزه,0,13,446,778,623021285
1540,هیدج,0,14,18,779,1901031531
1541,هیدوچ,0,16,263,1094,1114022613
1542,هیر,0,3,20,1095,2401042299
1543,یاسوج,0,23,90,894,1701031512
1544,یاسوکند,0,20,98,480,1202022190
1545,یامچی,0,1,391,1096,307032400
1546,یان چشمه,0,9,79,406,1409022919
1547,یزد,0,31,448,1021,2105031562
1548,یزد1,2,31,448,1021,2105031657
1549,یزد2,2,31,448,1021,2105031658
1550,یزد3,2,31,448,1021,2105032525
1551,یزدان شهر,0,21,227,1098,805032601
1552,یکه سعود,0,12,201,162,2808032943
1553,یولاگلدی,0,2,278,668,417022899
1554,یونسی,0,11,64,1099,931022610
